LOCATION : ;Mt. Balabag, Rizal
LATITUDE : ;14.820283
LONGITUDE : ;121.17385
ELEVATION :;618
DATE INSTALLED :;2022-03-14
DATE/TIME READ;RAINFALL AMOUNT (mm)
2022-03-10 16:17:00;0
2022-03-10 16:20:00;0
2022-03-10 16:30:00;14
2022-03-10 16:40:00;0
2022-03-10 16:50:00;0
2022-03-10 17:00:00;0
2022-03-10 17:10:00;0
2022-03-10 17:20:00;0
2022-03-10 17:30:00;0
2022-03-10 17:40:00;0
2022-03-10 17:50:00;0
2022-03-10 18:00:00;0
2022-03-10 18:10:00;0
2022-03-10 18:20:00;0
2022-03-10 18:30:00;0
2022-03-10 18:40:00;0
2022-03-10 18:50:00;0
2022-03-10 19:00:00;0
2022-03-10 19:10:00;0
2022-03-10 19:20:00;0
2022-03-10 19:30:00;0
2022-03-10 19:40:00;0
2022-03-10 19:50:00;0
2022-03-10 20:00:00;0
2022-03-10 20:10:00;0
2022-03-10 20:20:00;0
2022-03-10 20:30:00;0
2022-03-10 20:40:00;0
2022-03-10 20:50:00;0
2022-03-10 21:00:00;0
2022-03-10 21:10:00;0
2022-03-10 21:20:00;0
2022-03-10 21:30:00;0
2022-03-10 21:40:00;0
2022-03-10 21:50:00;0
2022-03-10 22:00:00;0
2022-03-10 22:10:00;0
2022-03-10 22:20:00;0
2022-03-10 22:30:00;0
2022-03-10 22:40:00;0
2022-03-10 22:50:00;0
2022-03-10 23:00:00;0
2022-03-10 23:10:00;0
2022-03-10 23:20:00;0
2022-03-10 23:30:00;0
2022-03-10 23:40:00;0
2022-03-10 23:50:00;0
2022-03-11 00:00:00;0
2022-03-11 00:10:00;0
2022-03-11 00:20:00;0
2022-03-11 00:30:00;0
2022-03-11 00:40:00;0
2022-03-11 00:50:00;0
2022-03-11 01:00:00;0
2022-03-11 01:10:00;0
2022-03-11 01:20:00;0
2022-03-11 01:30:00;0
2022-03-11 01:40:00;0
2022-03-11 01:50:00;0
2022-03-11 02:00:00;0
2022-03-11 02:10:00;0
2022-03-11 02:20:00;0
2022-03-11 02:30:00;0
2022-03-11 02:40:00;0
2022-03-11 02:50:00;0
2022-03-11 03:00:00;0
2022-03-11 03:10:00;0
2022-03-11 03:20:00;0
2022-03-11 03:30:00;0
2022-03-11 03:40:00;0
2022-03-11 03:50:00;0
2022-03-11 04:00:00;0
2022-03-11 04:10:00;0
2022-03-11 04:20:00;0
2022-03-11 04:30:00;0
2022-03-11 04:40:00;0
2022-03-11 04:50:00;0
2022-03-11 05:00:00;0
2022-03-11 05:10:00;0
2022-03-11 05:20:00;0
2022-03-11 05:30:00;0
2022-03-11 05:40:00;0
2022-03-11 05:50:00;0
2022-03-11 06:00:00;0
2022-03-11 06:10:00;0
2022-03-11 06:20:00;0
2022-03-11 06:30:00;0
2022-03-11 06:40:00;0
2022-03-11 06:50:00;0
2022-03-11 07:00:00;0
2022-03-11 07:10:00;0
2022-03-11 07:20:00;0
2022-03-11 07:30:00;0
2022-03-11 07:40:00;0
2022-03-11 07:50:00;0
2022-03-11 08:00:00;0
2022-03-11 08:10:00;0
2022-03-11 08:20:00;0
2022-03-11 08:30:00;0
