LOCATION : ;Brgy. Bagong Nayon Bridge, Rizal
LATITUDE : ;14.62300
LONGITUDE : ;121.16859
ELEVATION :;0
DATE INSTALLED :;2016-10-11
DATE/TIME READ;WATERLEVEL (m)
2016-10-10 15:50:09;0.5
2016-10-11 15:30:11;-0.43
2016-10-11 15:40:10;-0.46
2016-10-11 15:50:11;-0.44
2016-10-11 16:00:10;-0.27
2016-10-11 16:10:10;-0.13
2016-10-11 16:20:12;-0.16
2016-10-11 16:30:13;-0.19
2016-10-11 16:40:10;-0.19
2016-10-11 16:50:10;-0.22
2016-10-11 17:00:11;-0.23
2016-10-11 17:10:11;-0.26
2016-10-11 17:20:11;-0.26
2016-10-11 17:30:11;-0.24
2016-10-11 17:40:10;-0.16
2016-10-11 17:50:14;-0.07
2016-10-11 18:00:11;-0.05
2016-10-11 18:10:11;-0.03
2016-10-11 18:20:12;-0.01
2016-10-11 18:30:10;-0.05
2016-10-11 18:40:10;-0.09
2016-10-11 18:50:10;-0.13
2016-10-11 19:00:10;-0.15
2016-10-11 19:10:10;-0.17
2016-10-11 19:20:10;-0.2
2016-10-11 19:30:10;-0.22
2016-10-11 19:40:10;-0.23
2016-10-11 19:50:10;-0.24
2016-10-11 20:00:10;-0.26
2016-10-11 20:10:10;-0.27
2016-10-11 20:20:11;-0.28
2016-10-11 20:30:10;-0.29
2016-10-11 20:40:10;-0.29
2016-10-11 20:50:11;-0.3
2016-10-11 21:00:10;-0.32
2016-10-11 21:10:11;-0.33
2016-10-11 21:20:11;-0.33
2016-10-11 21:30:11;-0.33
2016-10-11 21:40:11;-0.33
2016-10-11 21:50:12;-0.34
2016-10-11 22:00:10;-0.35
2016-10-11 22:10:11;-0.35
2016-10-11 22:20:10;-0.36
2016-10-11 22:30:10;-0.36
2016-10-11 22:40:10;-0.36
2016-10-11 22:50:10;-0.36
2016-10-11 23:00:10;-0.36
2016-10-11 23:10:11;-0.37
2016-10-11 23:20:10;-0.37
2016-10-11 23:30:11;-0.37
2016-10-11 23:40:10;-0.38
2016-10-11 23:50:10;-0.38
2016-10-12 00:00:11;-0.38
2016-10-12 00:10:10;-0.38
2016-10-12 00:20:10;-0.38
2016-10-12 00:30:10;-0.38
2016-10-12 00:40:11;-0.39
2016-10-12 00:50:11;-0.39
2016-10-12 01:00:11;-0.39
2016-10-12 01:10:10;-0.39
2016-10-12 01:20:11;-0.39
2016-10-12 01:30:12;-0.39
2016-10-12 01:40:10;-0.39
2016-10-12 01:50:10;-0.39
2016-10-12 02:00:10;-0.4
2016-10-12 02:10:10;-0.4
2016-10-12 02:20:11;-0.4
2016-10-12 02:30:10;-0.4
