LOCATION : ;Modesta Bridge, Brgy Fortune, Metro Manila
LATITUDE : ;14.668224
LONGITUDE : ;121.1299
ELEVATION :;22.30
DATE INSTALLED :;2012-09-27
DATE/TIME READ;WATERLEVEL (m)
2010-11-12 17:10:14;27.63
2010-11-12 17:20:14;27.65
2010-11-12 17:30:14;27.64
2012-05-24 15:40:15;31.4
2012-05-24 15:50:20;31.4
2012-05-24 16:00:21;31.4
2012-05-24 16:10:14;31.4
2012-05-24 16:20:15;31.39
2012-05-24 16:30:14;31.4
2012-05-24 16:40:14;31.4
2012-05-24 16:50:14;31.4
2012-05-24 17:00:14;31.39
2012-05-24 17:10:19;31.4
2012-05-24 17:20:14;31.4
2012-05-24 17:30:14;31.4
2012-05-24 17:40:14;31.4
2012-05-24 17:50:14;31.39
2012-05-24 18:00:14;31.4
2012-05-24 18:10:14;31.39
2012-05-24 18:20:14;31.39
2012-07-27 17:34:40;27.52
2012-09-25 12:10:16;27.73
2012-09-25 12:20:16;27.73
2012-09-25 12:30:16;27.73
2012-09-25 12:40:16;27.73
2012-09-25 12:50:14;27.73
2012-09-25 13:00:14;27.73
2012-09-25 14:00:14;27.75
2012-09-26 03:50:16;27.79
2012-09-26 04:00:28;27.78
2012-09-26 04:10:28;27.78
2012-09-26 05:40:28;27.75
2012-09-26 05:50:39;27.76
2012-09-26 06:00:14;27.75
2012-09-26 06:10:14;27.75
2012-09-26 06:20:14;27.75
2012-09-26 06:30:14;27.75
2012-09-26 06:40:14;27.74
2012-09-26 06:50:14;27.75
2012-09-26 07:00:14;27.74
2012-09-26 07:10:14;27.74
2012-09-26 07:20:14;27.74
2012-09-26 07:30:14;27.74
2012-09-26 07:40:14;27.74
2012-09-26 07:50:14;27.75
2012-09-26 08:00:14;27.75
2012-09-26 08:10:14;27.72
2012-09-26 08:20:14;27.74
2012-09-26 08:30:14;27.74
2012-09-26 08:40:14;27.75
2012-09-26 08:50:14;27.74
2012-09-26 09:00:14;27.74
2012-09-26 09:10:14;27.74
2012-09-26 09:20:14;27.72
2012-09-26 09:30:14;27.73
2012-09-26 09:40:14;27.74
2012-09-26 09:50:14;27.75
2012-09-26 10:00:14;27.76
2012-09-26 10:10:16;27.75
2012-09-26 10:20:14;27.75
2012-09-26 10:30:14;27.74
2012-09-26 10:40:14;27.76
2012-09-26 10:50:14;27.76
2012-09-26 11:00:14;27.75
2012-09-26 11:10:16;27.76
2012-09-26 11:20:14;27.76
2012-09-26 11:30:14;27.75
2012-09-26 11:40:14;27.76
2012-09-26 11:50:14;27.76
2012-09-26 12:00:14;27.75
2012-09-26 12:10:14;27.75
2012-09-26 12:20:14;27.75
2012-09-26 12:30:14;27.76
2012-09-26 12:40:14;27.76
2012-09-26 12:50:14;27.76
2012-09-26 13:00:14;27.75
2012-09-26 13:10:14;27.75
2012-09-26 13:20:14;27.75
2012-09-26 13:30:14;27.75
2012-09-26 13:40:14;27.75
2012-09-26 13:50:15;27.75
2012-09-26 14:00:14;27.75
2012-09-26 15:00:15;27.74
2012-09-26 16:00:14;27.75
2012-09-26 17:00:14;27.75
2012-09-26 18:00:14;27.75
2012-09-27 07:20:17;28.19
2012-09-27 07:30:28;28.23
2012-09-27 07:40:28;28.3
2012-09-27 07:50:28;28.36
2012-09-27 08:00:39;28.31
2012-09-27 08:30:14;28.2
2012-09-27 09:00:14;28.11
2012-09-27 10:00:14;27.99
2012-09-27 10:10:19;27.97
2012-09-27 10:20:14;27.95
2012-09-27 10:30:14;27.95
2012-09-27 10:40:14;27.93
2012-09-27 10:50:14;27.93
2012-09-27 11:00:14;27.91
2012-09-27 11:10:14;27.91
2012-09-27 11:20:14;27.91
2012-09-27 11:30:14;27.89
2012-09-27 11:40:14;27.88
2012-09-27 11:50:15;27.88
2012-09-27 12:00:14;27.87
2012-09-27 12:10:14;27.86
2012-09-27 12:20:14;27.86
2012-09-27 12:30:14;27.85
2012-09-27 12:40:14;27.85
2012-09-27 12:50:14;27.84
2012-09-27 13:00:14;27.84
2012-09-27 13:10:14;27.84
2012-09-27 13:20:14;27.84
2012-09-27 13:30:18;27.84
2012-09-27 14:00:14;27.83
2012-09-28 03:40:41;27.79
2012-09-28 03:50:16;27.79
2012-09-28 04:00:14;27.79
2012-09-28 04:10:14;27.79
2012-09-28 04:20:14;27.79
2012-09-28 04:30:15;27.79
2012-09-28 04:40:14;27.81
2012-09-28 04:50:14;27.83
2012-09-28 05:00:14;27.87
2012-09-28 05:10:14;27.88
2012-09-28 05:20:14;27.87
2012-09-28 05:30:16;27.87
2012-09-28 05:40:14;27.86
2012-09-28 05:50:16;27.85
2012-09-28 06:00:14;27.85
2012-09-28 06:10:14;27.84
2012-09-28 06:20:14;27.83
2012-09-28 06:30:15;27.83
2012-09-28 06:40:14;27.82
2012-09-28 06:50:14;27.81
2012-09-28 07:00:14;27.8
2012-09-28 07:10:15;27.8
2012-09-28 07:20:14;27.79
2012-09-28 07:30:14;27.79
2012-09-28 07:40:15;27.78
2012-09-28 07:50:14;27.75
2012-09-28 08:00:14;27.76
2012-09-28 08:10:14;27.76
2012-09-28 08:20:14;27.77
2012-09-28 08:30:15;27.76
2012-09-28 08:40:14;27.76
2012-09-28 08:50:14;27.76
2012-09-28 09:00:14;27.76
2012-09-28 09:10:14;27.76
2012-09-28 09:20:15;27.75
2012-09-28 09:30:16;27.76
2012-09-28 09:40:14;27.76
2012-09-28 09:50:15;27.76
2012-09-28 10:00:14;27.77
2012-09-28 10:10:14;27.75
2012-09-28 10:20:14;27.77
2012-09-28 10:30:14;27.78
2012-09-28 10:40:14;27.79
2012-09-28 10:50:14;27.79
2012-09-28 11:00:14;27.78
2012-09-28 11:10:14;27.76
2012-09-28 11:20:14;27.78
2012-09-28 11:30:16;27.77
2012-09-28 11:40:14;27.76
2012-09-28 11:50:14;27.76
2012-09-28 12:00:14;27.76
2012-09-28 12:10:15;27.75
2012-09-28 12:20:14;27.76
2012-09-28 12:30:14;27.76
2012-09-28 12:40:16;27.76
2012-09-28 12:50:14;27.78
2012-09-28 13:00:14;27.81
2012-09-28 13:10:14;27.81
2012-09-28 13:20:14;27.81
2012-09-28 13:30:14;27.81
2012-09-28 13:40:15;27.81
2012-09-28 13:50:14;27.8
2012-09-28 14:00:14;27.79
2012-09-28 14:10:14;27.79
2012-09-28 14:20:14;27.79
2012-09-28 14:30:14;27.79
2012-09-28 14:40:14;27.79
2012-09-28 14:50:14;27.78
2012-09-28 15:00:14;27.78
2012-09-28 15:10:14;27.79
2012-09-28 15:20:14;27.78
2012-09-28 15:30:14;27.79
2012-09-28 15:40:14;27.78
2012-09-28 15:50:16;27.78
2012-09-28 16:00:14;27.78
2012-09-28 16:10:14;27.78
2012-09-28 16:20:14;27.77
2012-09-28 16:30:14;27.78
2012-09-28 16:40:14;27.78
2012-09-28 16:50:14;27.77
2012-09-28 17:00:14;27.77
2012-09-28 17:10:14;27.77
2012-09-28 17:20:14;27.77
2012-09-28 17:30:14;27.76
2012-09-28 17:40:14;27.77
2012-09-28 17:50:14;27.77
2012-09-28 18:00:14;27.76
2012-09-28 18:10:21;27.77
2012-09-28 18:20:14;27.77
2012-09-28 18:30:14;27.77
2012-09-28 18:40:14;27.76
2012-09-28 18:50:14;27.77
2012-09-28 19:00:14;27.77
2012-09-28 19:10:14;27.77
2012-09-28 19:20:14;27.76
2012-09-28 19:30:14;27.76
2012-09-28 19:40:14;27.76
2012-09-28 19:50:14;27.76
2012-09-28 20:00:14;27.77
2012-09-28 20:10:14;27.77
2012-09-28 20:20:14;27.77
2012-09-28 20:30:14;27.76
2012-09-28 20:40:14;27.77
2012-09-28 20:50:16;27.76
2012-09-28 21:00:14;27.75
2012-09-28 21:10:15;27.77
2012-09-28 21:20:14;27.76
2012-09-28 21:30:14;27.76
2012-09-28 21:40:14;27.76
2012-09-28 21:50:14;27.76
2012-09-28 22:00:14;27.77
2012-09-28 22:10:14;27.79
2012-09-28 22:20:14;27.8
2012-09-28 22:30:14;27.81
2012-09-28 22:40:14;27.85
2012-09-28 22:50:14;27.86
2012-09-28 23:00:14;27.92
2012-09-28 23:10:14;28.03
2012-09-28 23:20:14;28.11
2012-09-28 23:30:14;28.15
2012-09-28 23:40:14;28.18
2012-09-28 23:50:14;28.31
2012-09-29 00:00:14;28.41
2012-09-29 00:10:14;28.71
2012-09-29 00:20:14;28.9
2012-09-29 00:30:14;28.95
2012-09-29 00:40:14;28.84
2012-09-29 00:50:14;28.75
2012-09-29 01:00:14;28.59
2012-09-29 01:10:16;28.47
2012-09-29 01:20:14;28.33
2012-09-29 01:30:15;28.41
2012-09-29 01:40:14;28.4
2012-09-29 02:00:14;28.29
2012-09-29 02:10:17;28.25
2012-09-29 03:00:14;28.15
2012-09-29 04:00:14;28.06
2012-09-29 04:30:14;28.02
2012-09-29 04:40:14;28.01
2012-09-29 04:50:16;28.0
2012-09-29 05:00:14;27.99
2012-09-29 05:10:14;27.99
2012-09-29 05:20:14;27.98
2012-09-29 05:30:14;27.97
2012-09-29 05:40:14;27.96
2012-09-29 05:50:14;27.95
2012-09-29 06:00:14;27.94
2012-09-29 06:10:14;27.93
2012-09-29 06:20:14;27.92
2012-09-29 06:30:14;27.91
